id,name,price,photo
d84d32be-438c-0023-d93f-aa41511296d5,Sobre de punto antiguo,0,228af0_77885b8830034ac28fb3b5d1c5ebbc4c~mv2_d_2448_3264_s_4_2.jpg
a9f4f0a3-dbfd-823c-86b9-5a8954077a71,Sobre de colores,0,228af0_aaf813e2d56048f1b926b5eb2163c05d~mv2_d_2448_3264_s_4_2.jpg
b9b75c34-257b-5bf6-d166-a664a8b4a517,Cuencos de Palo Santo,0,228af0_f40438bb807e441d84236bc9edd6ecce~mv2_d_5936_3957_s_4_2.jpg
9628bdcf-13fc-d4b7-9b2a-ab8990a0582e,Bolsa Chismosa natural,0,d0c909_d0e7d728a4424b819a62cbfcccfc9c4a~mv2_d_6000_4000_s_4_2.jpg
8545a35f-01f5-c182-049e-f1b3cf5fbe81,Bolsa Chismosa multicolor,0,d0c909_86e47ec0cf1340df9eca5f6a39067694~mv2_d_6000_4000_s_4_2.jpg
5ba8077a-42fc-ca85-25f5-0d72455f0158,Bolsa Chismosa Gris jaspeada,0,d0c909_332559f1a8eb44469dcf82c959420948~mv2_d_6000_4000_s_4_2.jpg
cf1035fc-a5e0-6db3-a891-2f1a3acdaece,Bolsa Chismosa Gris,0,d0c909_47b1001d458f4cc0a7c8884b1fa881ca~mv2_d_6000_4000_s_4_2.jpg
fe7c874a-3750-15da-203d-44d6b8688560,Bolsa Chismosa Morada,0,d0c909_beff2451285e426882c3a2f45cc6d4bc~mv2_d_6000_4000_s_4_2.jpg
3cec8a55-41c0-988f-31bb-bd40c1b2dccc,Bolsa Chismosa Ocre,0,d0c909_99f053805d7742fcbe4be0cd89a09937~mv2_d_6000_4000_s_4_2.jpg
34d70c6e-b7d1-2ad3-9a4d-af3cdeb95e1c,Bolsa Chismosa Tierra,0,d0c909_96f53d48a9334b57aaaaa12672fc1841~mv2_d_6000_4000_s_4_2.jpg
7eb59794-2774-3fa8-e102-b4891efb7a05,Sobre Antonina,0,d0c909_a399bb937f6a41d2ac9677490b83a278~mv2_d_6000_4000_s_4_2.jpg
d6462102-95b8-e392-567f-490627e0bcc7,Cuchillo Mini,0,d0c909_7b200e0e8e58460e88a6607cb3e576da~mv2_d_5708_3805_s_4_2.jpg
341e8fc9-4467-a988-10f0-b1e191d0116a,Cuchara Azu,0,d0c909_5fd30b1fdd434d60a9fd4e1413503fd4~mv2_d_5983_3841_s_4_2.jpg
a309045d-1e68-7bbf-5ce3-3204a5106fb5,Sobre Nilda,0,d0c909_a38f156abecb436bb0d00b92d46f469a~mv2_d_6000_4000_s_4_2.jpg
